t,x_a,y_a,z_a,x_b,y_b,z_b,separation
0.98500,-11.153670,-14.769672,25.697578,-11.153670,-14.769672,25.697578,0.0000000180
0.99000,-11.331157,-14.811493,26.183290,-11.331157,-14.811493,26.183290,0.0000000180
0.99500,-11.501385,-14.826999,26.676975,-11.501385,-14.826999,26.676975,0.0000000179
1.00000,-11.663397,-14.815030,27.176460,-11.663397,-14.815030,27.176460,0.0000000178
1.00500,-11.816227,-14.774605,27.679396,-11.816227,-14.774605,27.679396,0.0000000177
1.01000,-11.958916,-14.704944,28.183286,-11.958916,-14.704944,28.183286,0.0000000175
1.01500,-12.090518,-14.605493,28.685497,-12.090518,-14.605493,28.685497,0.0000000174
1.02000,-12.210112,-14.475952,29.183292,-12.210112,-14.475952,29.183292,0.0000000172
1.02500,-12.316815,-14.316289,29.673859,-12.316815,-14.316289,29.673859,0.0000000171
1.03000,-12.409790,-14.126756,30.154346,-12.409790,-14.126756,30.154346,0.0000000169
1.03500,-12.488264,-13.907904,30.621895,-12.488264,-13.907904,30.621895,0.0000000167
1.04000,-12.551533,-13.660581,31.073687,-12.551533,-13.660581,31.073687,0.0000000165
1.04500,-12.598977,-13.385936,31.506978,-12.598977,-13.385936,31.506978,0.0000000164
1.05000,-12.630070,-13.085406,31.919140,-12.630070,-13.085406,31.919140,0.0000000162
1.05500,-12.644387,-12.760708,32.307703,-12.644387,-12.760708,32.307703,0.0000000161
1.06000,-12.641617,-12.413814,32.670392,-12.641617,-12.413814,32.670392,0.0000000159
1.06500,-12.621562,-12.046926,33.005158,-12.621562,-12.046926,33.005158,0.0000000158
1.07000,-12.584149,-11.662445,33.310214,-12.584149,-11.662445,33.310214,0.0000000157
1.07500,-12.529430,-11.262934,33.584052,-12.529430,-11.262934,33.584052,0.0000000156
1.08000,-12.457580,-10.851078,33.825471,-12.457580,-10.851078,33.825471,0.0000000155
1.08500,-12.368900,-10.429642,34.033578,-12.368900,-10.429642,34.033578,0.0000000154
1.09000,-12.263814,-10.001431,34.207803,-12.263814,-10.001431,34.207803,0.0000000154
1.09500,-12.142860,-9.569242,34.347895,-12.142860,-9.569242,34.347895,0.0000000153
1.10000,-12.006686,-9.135828,34.453909,-12.006686,-9.135828,34.453909,0.0000000153
1.10500,-11.856040,-8.703854,34.526199,-11.856040,-8.703854,34.526199,0.0000000152
1.11000,-11.691761,-8.275866,34.565397,-11.691761,-8.275866,34.565397,0.0000000152
1.11500,-11.514769,-7.854254,34.572384,-11.514769,-7.854254,34.572384,0.0000000151
1.12000,-11.326049,-7.441234,34.548270,-11.326049,-7.441234,34.548270,0.0000000151
1.12500,-11.126642,-7.038818,34.494358,-11.126642,-7.038818,34.494358,0.0000000150
1.13000,-10.917633,-6.648804,34.412118,-10.917633,-6.648804,34.412118,0.0000000149
1.13500,-10.700134,-6.272764,34.303146,-10.700134,-6.272764,34.303146,0.0000000149
1.14000,-10.475274,-5.912040,34.169140,-10.475274,-5.912040,34.169140,0.0000000148
1.14500,-10.244188,-5.567742,34.011868,-10.244188,-5.567742,34.011868,0.0000000147
1.15000,-10.008003,-5.240753,33.833132,-10.008003,-5.240753,33.833133,0.0000000146
1.15500,-9.767830,-4.931741,33.634751,-9.767830,-4.931741,33.634751,0.0000000144
1.16000,-9.524750,-4.641163,33.418527,-9.524750,-4.641163,33.418527,0.0000000143
1.16500,-9.279814,-4.369286,33.186232,-9.279814,-4.369286,33.186232,0.0000000142
1.17000,-9.034025,-4.116199,32.939585,-9.034025,-4.116199,32.939586,0.0000000140
1.17500,-8.788341,-3.881832,32.680240,-8.788341,-3.881832,32.680240,0.0000000138
1.18000,-8.543666,-3.665973,32.409772,-8.543666,-3.665973,32.409772,0.0000000137
1.18500,-8.300844,-3.468286,32.129669,-8.300844,-3.468286,32.129669,0.0000000135
1.19000,-8.060662,-3.288330,31.841327,-8.060662,-3.288330,31.841327,0.0000000133
1.19500,-7.823842,-3.125577,31.546045,-7.823842,-3.125577,31.546045,0.0000000131
1.20000,-7.591045,-2.979427,31.245024,-7.591045,-2.979427,31.245024,0.0000000129
1.20500,-7.362869,-2.849226,30.939366,-7.362869,-2.849226,30.939366,0.0000000127
1.21000,-7.139849,-2.734276,30.630079,-7.139849,-2.734276,30.630079,0.0000000125
1.21500,-6.922460,-2.633855,30.318077,-6.922460,-2.633855,30.318077,0.0000000123
1.22000,-6.711117,-2.547221,30.004185,-6.711117,-2.547221,30.004185,0.0000000121
1.22500,-6.506181,-2.473631,29.689146,-6.506181,-2.473631,29.689146,0.0000000119
1.23000,-6.307955,-2.412340,29.373622,-6.307955,-2.412340,29.373622,0.0000000117
1.23500,-6.116696,-2.362619,29.058204,-6.116696,-2.362619,29.058204,0.0000000115
1.24000,-5.932609,-2.323752,28.743414,-5.932609,-2.323752,28.743414,0.0000000113
1.24500,-5.755857,-2.295051,28.429716,-5.755857,-2.295051,28.429716,0.0000000111
1.25000,-5.586562,-2.275852,28.117515,-5.586562,-2.275852,28.117515,0.0000000110
1.25500,-5.424808,-2.265522,27.807169,-5.424808,-2.265522,27.807169,0.0000000108
1.26000,-5.270645,-2.263464,27.498988,-5.270645,-2.263464,27.498988,0.0000000106
1.26500,-5.124092,-2.269113,27.193246,-5.124092,-2.269113,27.193246,0.0000000105
1.27000,-4.985140,-2.281942,26.890180,-4.985140,-2.281942,26.890180,0.0000000104
1.27500,-4.853757,-2.301462,26.589997,-4.853757,-2.301462,26.589997,0.0000000103
1.28000,-4.729889,-2.327221,26.292877,-4.729889,-2.327221,26.292877,0.0000000101
1.28500,-4.613464,-2.358803,25.998978,-4.613464,-2.358803,25.998978,0.0000000100
1.29000,-4.504391,-2.395829,25.708436,-4.504391,-2.395829,25.708436,0.0000000100
1.29500,-4.402571,-2.437957,25.421375,-4.402571,-2.437957,25.421375,0.0000000099
1.30000,-4.307891,-2.484878,25.137900,-4.307891,-2.484878,25.137900,0.0000000098
1.30500,-4.220228,-2.536318,24.858107,-4.220228,-2.536318,24.858107,0.0000000098
1.31000,-4.139456,-2.592035,24.582083,-4.139456,-2.592035,24.582083,0.0000000097
1.31500,-4.065441,-2.651816,24.309906,-4.065441,-2.651816,24.309906,0.0000000097
1.32000,-3.998048,-2.715479,24.041650,-3.998048,-2.715479,24.041650,0.0000000097
1.32500,-3.937139,-2.782870,23.777384,-3.937139,-2.782870,23.777384,0.0000000097
1.33000,-3.882575,-2.853862,23.517174,-3.882575,-2.853862,23.517174,0.0000000097
1.33500,-3.834222,-2.928351,23.261084,-3.834222,-2.928351,23.261084,0.0000000097
1.34000,-3.791944,-3.006256,23.009179,-3.791944,-3.006256,23.009179,0.0000000097
1.34500,-3.755610,-3.087521,22.761523,-3.755610,-3.087521,22.761523,0.0000000098
1.35000,-3.725094,-3.172109,22.518183,-3.725094,-3.172109,22.518183,0.0000000099
1.35500,-3.700272,-3.260000,22.279225,-3.700272,-3.260000,22.279225,0.0000000099
1.36000,-3.681028,-3.351196,22.044723,-3.681028,-3.351196,22.044723,0.0000000100
1.36500,-3.667253,-3.445712,21.814750,-3.667253,-3.445712,21.814750,0.0000000101
1.37000,-3.658841,-3.543580,21.589387,-3.658841,-3.543580,21.589387,0.0000000103
1.37500,-3.655696,-3.644848,21.368716,-3.655696,-3.644848,21.368716,0.0000000104
1.38000,-3.657727,-3.749573,21.152830,-3.657727,-3.749573,21.152830,0.0000000106
1.38500,-3.664854,-3.857829,20.941823,-3.664854,-3.857829,20.941823,0.0000000107
1.39000,-3.677001,-3.969696,20.735801,-3.677001,-3.969696,20.735801,0.0000000109
1.39500,-3.694103,-4.085269,20.534873,-3.694103,-4.085269,20.534873,0.0000000111
1.40000,-3.716100,-4.204648,20.339159,-3.716100,-4.204648,20.339159,0.0000000113
1.40500,-3.742942,-4.327945,20.148789,-3.742942,-4.327945,20.148789,0.0000000116
1.41000,-3.774587,-4.455275,19.963899,-3.774587,-4.455275,19.963899,0.0000000118
1.41500,-3.811001,-4.586764,19.784637,-3.811001,-4.586764,19.784637,0.0000000121
1.42000,-3.852156,-4.722539,19.611165,-3.852156,-4.722539,19.611165,0.0000000124
1.42500,-3.898034,-4.862735,19.443652,-3.898034,-4.862735,19.443652,0.0000000127
1.43000,-3.948624,-5.007487,19.282282,-3.948624,-5.007487,19.282282,0.0000000130
1.43500,-4.003920,-5.156936,19.127252,-4.003920,-5.156936,19.127252,0.0000000133
1.44000,-4.063927,-5.311223,18.978774,-4.063927,-5.311223,18.978774,0.0000000136
1.44500,-4.128654,-5.470487,18.837074,-4.128654,-5.470487,18.837074,0.0000000140
1.45000,-4.198117,-5.634870,18.702393,-4.198117,-5.634870,18.702393,0.0000000144
1.45500,-4.272338,-5.804508,18.574991,-4.272338,-5.804508,18.574991,0.0000000148
1.46000,-4.351344,-5.979537,18.455143,-4.351344,-5.979537,18.455143,0.0000000152
1.46500,-4.435169,-6.160084,18.343145,-4.435169,-6.160084,18.343145,0.0000000156
1.47000,-4.523849,-6.346273,18.239311,-4.523849,-6.346273,18.239311,0.0000000161
1.47500,-4.617425,-6.538217,18.143975,-4.617425,-6.538217,18.143975,0.0000000166
1.48000,-4.715943,-6.736018,18.057491,-4.715943,-6.736018,18.057491,0.0000000170
1.48500,-4.819449,-6.939767,17.980238,-4.819449,-6.939767,17.980238,0.0000000175
1.49000,-4.927991,-7.149540,17.912614,-4.927991,-7.149540,17.912614,0.0000000181
1.49500,-5.041620,-7.365394,17.855041,-5.041620,-7.365393,17.855041,0.0000000186
1.50000,-5.160385,-7.587365,17.807967,-5.160385,-7.587365,17.807967,0.0000000191
