renorm_step,running_lambda
1103,0.869844
1104,0.863783
1105,0.858177
1106,0.854001
1107,0.851106
1108,0.849129
1109,0.848053
1110,0.848051
1111,0.849136
1112,0.850890
1113,0.852402
1114,0.852379
1115,0.850135
1116,0.847535
1117,0.844869
1118,0.840889
1119,0.837608
1120,0.836654
1121,0.837628
1122,0.840016
1123,0.843637
1124,0.848305
1125,0.853793
1126,0.859906
1127,0.866483
1128,0.873371
1129,0.880363
1130,0.887079
1131,0.892742
1132,0.895939
1133,0.895373
1134,0.892243
1135,0.887714
1136,0.881434
1137,0.874595
1138,0.868789
1139,0.864499
1140,0.861097
1141,0.857924
1142,0.854852
1143,0.853002
1144,0.854756
1145,0.858778
1146,0.861019
1147,0.860095
1148,0.857835
1149,0.855865
1150,0.853687
1151,0.851340
1152,0.849490
1153,0.848637
1154,0.848959
1155,0.850415
1156,0.852786
1157,0.855652
1158,0.858355
1159,0.859938
1160,0.859349
1161,0.856886
1162,0.854611
1163,0.851710
1164,0.847633
1165,0.844220
1166,0.842897
1167,0.843641
1168,0.846102
1169,0.849972
1170,0.854887
1171,0.860513
1172,0.866591
1173,0.872884
1174,0.879065
1175,0.884529
1176,0.888171
1177,0.888630
1178,0.886230
1179,0.882789
1180,0.877908
1181,0.871952
1182,0.866438
1183,0.862307
1184,0.859345
1185,0.857038
1186,0.855121
1187,0.853450
1188,0.851768
1189,0.849609
1190,0.846920
1191,0.846009
1192,0.847165
1193,0.846373
1194,0.844375
1195,0.843156
1196,0.842840
1197,0.843483
1198,0.845354
1199,0.848461
1200,0.852590
1201,0.857506
1202,0.863021
1203,0.868984
1204,0.875239
1205,0.881569
1206,0.887575
1207,0.892458
1208,0.894865
1209,0.893831
1210,0.890805
1211,0.886560
1212,0.880779
1213,0.874678
1214,0.869673
1215,0.866057
1216,0.863229
1217,0.860632
1218,0.857942
1219,0.855134
1220,0.853423
1221,0.855258
1222,0.858402
1223,0.858956
1224,0.857156
1225,0.855228
1226,0.853506
1227,0.851864
1228,0.850887
1229,0.851146
1230,0.852790
1231,0.855644
1232,0.859409
1233,0.863747
1234,0.868271
1235,0.872428
1236,0.875337
1237,0.875857
1238,0.873873
1239,0.871257
1240,0.867914
1241,0.863353
1242,0.858927
1243,0.855981
1244,0.854801
1245,0.855300
1246,0.857490
1247,0.861193
1248,0.866013
1249,0.871574
1250,0.877613
1251,0.883937
1252,0.890327
1253,0.896401
1254,0.901374
1255,0.903867
1256,0.902882
1257,0.899799
1258,0.895289
1259,0.889244
1260,0.882955
1261,0.877787
1262,0.873965
1263,0.870831
1264,0.867889
1265,0.865482
1266,0.865460
1267,0.868588
1268,0.871731
1269,0.872339
1270,0.870632
1271,0.868713
1272,0.867018
1273,0.864972
1274,0.862859
1275,0.861196
1276,0.860248
1277,0.860061
1278,0.860554
1279,0.861497
1280,0.862416
1281,0.862559
1282,0.861162
1283,0.858866
1284,0.857526
1285,0.855627
1286,0.852688
1287,0.850659
1288,0.850500
1289,0.851854
1290,0.854393
1291,0.857900
1292,0.862131
1293,0.866837
1294,0.871761
1295,0.876556
1296,0.880631
1297,0.883017
1298,0.882727
1299,0.880446
1300,0.877766
1301,0.874006
1302,0.869354
1303,0.865158
1304,0.862288
1305,0.860812
1306,0.860767
1307,0.862364
1308,0.865567
1309,0.869987
1310,0.875173
1311,0.880776
1312,0.886479
1313,0.891830
1314,0.895987
1315,0.897626
1316,0.896157
1317,0.893148
1318,0.888854
1319,0.883266
1320,0.877741
1321,0.873485
1322,0.870505
1323,0.868160
1324,0.865966
1325,0.863624
1326,0.861072
1327,0.859462
1328,0.861005
1329,0.863306
1330,0.863138
1331,0.861339
1332,0.859802
1333,0.858589
1334,0.857670
1335,0.857520
1336,0.858474
1337,0.860527
1338,0.863466
1339,0.867014
1340,0.870836
1341,0.874478
1342,0.877229
1343,0.878102
1344,0.876634
1345,0.874334
1346,0.871785
1347,0.868068
1348,0.864050
1349,0.861168
1350,0.859986
1351,0.860485
1352,0.862615
1353,0.866154
1354,0.870707
1355,0.875928
1356,0.881596
1357,0.887576
1358,0.893754
1359,0.899981
1360,0.905960
1361,0.911048
1362,0.914012
1363,0.913662
1364,0.910938
1365,0.906776
1366,0.901056
1367,0.894848
1368,0.889455
1369,0.885322
1370,0.882029
1371,0.879483
1372,0.878888
1373,0.881258
1374,0.884588
1375,0.886404
1376,0.885797
1377,0.883891
1378,0.882362
1379,0.880776
1380,0.878649
1381,0.876299
1382,0.874051
1383,0.871932
1384,0.869792
1385,0.867470
1386,0.865174
1387,0.864483
1388,0.866749
1389,0.869037
1390,0.868887
1391,0.867137
1392,0.865615
1393,0.864318
1394,0.863042
1395,0.862187
1396,0.862137
1397,0.862999
1398,0.864670
1399,0.866911
1400,0.869352
1401,0.871438
1402,0.872375
1403,0.871440
1404,0.869337
1405,0.867594
1406,0.865130
1407,0.861812
1408,0.859188
1409,0.858295
1410,0.859114
1411,0.861375
1412,0.864762
1413,0.868920
1414,0.873533
1415,0.878328
1416,0.882963
1417,0.886867
1418,0.889097
1419,0.888747
1420,0.886584
1421,0.883932
1422,0.880178
1423,0.875694
1424,0.871703
1425,0.868874
1426,0.867138
1427,0.866432
1428,0.866968
1429,0.868896
1430,0.872012
1431,0.875855
1432,0.879875
1433,0.883371
1434,0.885318
1435,0.884762
1436,0.882495
1437,0.879650
1438,0.875601
1439,0.871113
1440,0.867693
1441,0.865888
1442,0.865384
1443,0.865985
1444,0.867651
1445,0.870214
