t,x,y,z
1.24500,-5.755857,-2.295051,28.429716
1.25000,-5.586562,-2.275852,28.117515
1.25500,-5.424808,-2.265522,27.807169
1.26000,-5.270645,-2.263464,27.498988
1.26500,-5.124092,-2.269113,27.193246
1.27000,-4.985140,-2.281942,26.890180
1.27500,-4.853757,-2.301462,26.589997
1.28000,-4.729889,-2.327221,26.292877
1.28500,-4.613464,-2.358803,25.998978
1.29000,-4.504391,-2.395829,25.708436
1.29500,-4.402571,-2.437957,25.421375
1.30000,-4.307891,-2.484878,25.137900
1.30500,-4.220228,-2.536318,24.858107
1.31000,-4.139456,-2.592035,24.582083
1.31500,-4.065441,-2.651816,24.309906
1.32000,-3.998048,-2.715479,24.041650
1.32500,-3.937139,-2.782870,23.777384
1.33000,-3.882575,-2.853862,23.517174
1.33500,-3.834222,-2.928351,23.261084
1.34000,-3.791944,-3.006256,23.009179
1.34500,-3.755610,-3.087521,22.761523
1.35000,-3.725094,-3.172109,22.518183
1.35500,-3.700272,-3.260000,22.279225
1.36000,-3.681028,-3.351196,22.044723
1.36500,-3.667253,-3.445712,21.814750
1.37000,-3.658841,-3.543580,21.589387
1.37500,-3.655696,-3.644848,21.368716
1.38000,-3.657727,-3.749573,21.152830
1.38500,-3.664854,-3.857829,20.941823
1.39000,-3.677001,-3.969696,20.735801
1.39500,-3.694103,-4.085269,20.534873
1.40000,-3.716100,-4.204648,20.339159
1.40500,-3.742942,-4.327945,20.148789
1.41000,-3.774587,-4.455275,19.963899
1.41500,-3.811001,-4.586764,19.784637
1.42000,-3.852156,-4.722539,19.611165
1.42500,-3.898034,-4.862735,19.443652
1.43000,-3.948624,-5.007487,19.282282
1.43500,-4.003920,-5.156936,19.127252
1.44000,-4.063927,-5.311223,18.978774
1.44500,-4.128654,-5.470487,18.837074
1.45000,-4.198117,-5.634870,18.702393
1.45500,-4.272338,-5.804508,18.574991
1.46000,-4.351344,-5.979537,18.455143
1.46500,-4.435169,-6.160084,18.343145
1.47000,-4.523849,-6.346273,18.239311
1.47500,-4.617425,-6.538217,18.143975
1.48000,-4.715943,-6.736018,18.057491
1.48500,-4.819449,-6.939767,17.980238
1.49000,-4.927991,-7.149540,17.912614
1.49500,-5.041620,-7.365394,17.855041
1.50000,-5.160385,-7.587365,17.807967
1.50500,-5.284334,-7.815468,17.771860
1.51000,-5.413513,-8.049690,17.747215
1.51500,-5.547965,-8.289987,17.734549
1.52000,-5.687727,-8.536282,17.734403
1.52500,-5.832830,-8.788458,17.747344
1.53000,-5.983296,-9.046357,17.773956
1.53500,-6.139138,-9.309772,17.814848
1.54000,-6.300357,-9.578444,17.870645
1.54500,-6.466940,-9.852057,17.941990
1.55000,-6.638856,-10.130231,18.029539
1.55500,-6.816058,-10.412518,18.133957
1.56000,-6.998475,-10.698394,18.255913
1.56500,-7.186014,-10.987257,18.396079
1.57000,-7.378554,-11.278416,18.555116
1.57500,-7.575945,-11.571092,18.733673
1.58000,-7.778002,-11.864408,18.932375
1.58500,-7.984506,-12.157385,19.151815
1.59000,-8.195197,-12.448939,19.392542
1.59500,-8.409772,-12.737878,19.655049
1.60000,-8.627883,-13.022899,19.939762
1.60500,-8.849132,-13.302587,20.247021
1.61000,-9.073069,-13.575418,20.577067
1.61500,-9.299189,-13.839759,20.930027
1.62000,-9.526929,-14.093875,21.305892
1.62500,-9.755666,-14.335938,21.704503
1.63000,-9.984718,-14.564033,22.125532
1.63500,-10.213339,-14.776175,22.568461
1.64000,-10.440722,-14.970326,23.032571
1.64500,-10.666000,-15.144413,23.516917
1.65000,-10.888245,-15.296354,24.020323
1.65500,-11.106474,-15.424084,24.541362
1.66000,-11.319653,-15.525585,25.078354
1.66500,-11.526700,-15.598920,25.629357
1.67000,-11.726496,-15.642269,26.192168
1.67500,-11.917890,-15.653967,26.764328
1.68000,-12.099711,-15.632541,27.343135
1.68500,-12.270779,-15.576749,27.925657
1.69000,-12.429917,-15.485620,28.508763
1.69500,-12.575967,-15.358485,29.089146
1.70000,-12.707800,-15.195012,29.663365
1.70500,-12.824338,-14.995231,30.227886
1.71000,-12.924563,-14.759551,30.779132
1.71500,-13.007539,-14.488780,31.313533
1.72000,-13.072423,-14.184122,31.827585
1.72500,-13.118484,-13.847179,32.317904
1.73000,-13.145111,-13.479929,32.781280
1.73500,-13.151831,-13.084711,33.214739
1.74000,-13.138315,-12.664186,33.615586
1.74500,-13.104386,-12.221300,33.981453
1.75000,-13.050027,-11.759235,34.310336
1.75500,-12.975381,-11.281353,34.600625
1.76000,-12.880752,-10.791143,34.851122
1.76500,-12.766600,-10.292155,35.061055
1.77000,-12.633536,-9.787945,35.230072
1.77500,-12.482315,-9.282014,35.358238
1.78000,-12.313822,-8.777753,35.446012
1.78500,-12.129061,-8.278393,35.494222
1.79000,-11.929140,-7.786961,35.504031
1.79500,-11.715255,-7.306243,35.476897
1.80000,-11.488671,-6.838753,35.414534
1.80500,-11.250710,-6.386715,35.318862
1.81000,-11.002729,-5.952050,35.191966
1.81500,-10.746103,-5.536367,35.036047
1.82000,-10.482214,-5.140969,34.853382
1.82500,-10.212432,-4.766857,34.646283
1.83000,-9.938100,-4.414746,34.417060
1.83500,-9.660525,-4.085081,34.167987
1.84000,-9.380966,-3.778062,33.901279
1.84500,-9.100625,-3.493660,33.619065
1.85000,-8.820637,-3.231649,33.323372
1.85500,-8.542069,-2.991628,33.016110
1.86000,-8.265910,-2.773048,32.699062
1.86500,-7.993073,-2.575235,32.373881
